rsvp_limit      ,status          ,visibility      ,maybe_rsvp_count,venue_id       ,venue_zip      ,venue_lon      ,venue_name     ,venue_state    ,venue_address_1,venue_lat      ,venue_city     ,venue_country  ,id              ,utc_offset      ,duration        ,time            ,waitlist_count  ,updated         ,created         ,yes_rsvp_count  ,event_url       ,description,how_to_find_us  ,name            ,headcount       ,rating_count  ,rating_average,group_id       ,group_group_lat,group_name     ,group_group_lon,group_join_mode,group_urlname  ,group_who      
200,past,public,0,7106522,20037,-77.050293,newBrandAnalytics,DC,"1250 23rd St. NW, 4th floor",38.906357,Washington,us,61338572,-14400000,7200000,1337725800000,0,1340927871000,1334883624000,169,http:\/\/www.meetup.com\/Data-Science-DC\/events\/61338572\/,"<p>For our May Meetup, we're very pleased to have Dr. John Rumble from <a href=\http",,Data Science and Scientific Discovery: New Approaches to Nature’s Complexity,90,15,4.33,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
225,past,public,0,7106522,20037,-77.050293,newBrandAnalytics,DC,"1250 23rd St. NW, 4th floor",38.906357,Washington,us,65834962,-14400000,7200000,1340922600000,0,1346028804000,1337695093000,210,http:\/\/www.meetup.com\/Data-Science-DC\/events\/65834962\/,"<p>For our June Meetup, we are thrilled to have Gerhard Pilcher from <a href=\http",,Rare and Hidden Event Detection,100,18,4.44,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
220,past,public,0,7106522,20037,-77.050293,newBrandAnalytics,DC,"1250 23rd St. NW, 4th floor",38.906357,Washington,us,70123182,-14400000,7200000,1343082600000,0,1346116959000,1340290951000,218,http:\/\/www.meetup.com\/Data-Science-DC\/events\/70123182\/,"<p>For our July event, we're thrilled to have Mike Dewar, PhD, Data Scientist at <a href=\http",,The Beating Heart of Kim Kardashian,105,23,4.65,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
220,past,public,0,7106522,20037,-77.050293,newBrandAnalytics,DC,"1250 23rd St. NW, 4th floor",38.906357,Washington,us,76428622,-14400000,7200001,1346106600000,0,1346293036000,1344184451000,172,http:\/\/www.meetup.com\/Data-Science-DC\/events\/76428622\/,"<p>Who are Data Scientists and what is the distribution of their skills in the community? What skills do organizations say they want but actually need?<\/p>\n<p>For our August event, Harlan Harris, Marck Vaisman, and Sean Murphy will be presenting results from a survey of Data Scientists that addresses these questions and explores the disconnect between reality and recruitment. They will highlight unique combinations of skills and suggest ways that Data Scientists can market themselves and get ahead.<\/p>\n<ul>\n<li>6:30pm -- Networking and Refreshments<\/li>\n<li>7:00pm -- Introduction<\/li>\n<li>7:10pm -- Harlan, Marck and Sean's presentation and Q&amp;A<\/li>\n<li>around 8:30pm -- Adjourn for Data Drinks<\/li>\n<\/ul>\n<p><strong>Bios<\/strong><\/p>\n<p>Harlan Harris has a PhD in Machine Learning from the University of Illinois at Urbana-Champaign, and is Senior Data Scientist at Kaplan Test Prep.<\/p>\n<p>Marck Vaisman has an MBA from Vanderbilt and a BS in Mechanical Engineering from Boston University, and is Principal Data Scientist at DataXtract, working with a broad range of clients.<\/p>\n<p>Sean Murphy has an MBA from Oxford and a MS in Biomedical Engineering from Johns Hopkins, and has worked as a Data Scientist at Hopkins and at several startups.<\/p>\n<p>Harlan and Marck co-organize the Data Science DC and R Users DC Meetups, and Sean will soon be launching a new Data Business DC Meetup. All three are on the Board of the forthcoming Data Community DC, Inc.<\/p>\n<p> <\/p>",,The Split Personalities of Data Scientists: Survey Results and Insights,90,20,4.65,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
75,past,public,0,1212648,20004,-77.021894,Iron Horse Tap Room,DC,507 7th St NW,38.896428,Washington,us,75036512,-14400000,7200000,1347921000000,0,1349136305000,1343332185000,78,http:\/\/www.meetup.com\/Data-Science-DC\/events\/75036512\/,<p style=\font-size,,PAW-Gov Data Drinks,25,3,4.67,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
325,past,public,0,971752,20005,-77.0271,Google DC,DC,"1101 New York Avenue, N.W.,",38.901113,Washington ,us,75682162,-14400000,7200000,1349130600000,0,1350519307000,1343746358000,325,http:\/\/www.meetup.com\/Data-Science-DC\/events\/75682162\/,"<p>For our slipped-to-early-October Meetup, we're thrilled to have Rob Mealey, of former host newBrandAnalytics, presenting the next in our occasional Data Science Classroom series! Bayesian data analysis is a critically important modern skill for flexibly modelling and understanding complex (or, as we'll see, simple) data.<\/p>\n<p><strong>New things:<\/strong><\/p>\n<ol>\n<li>New location! We're thrilled to be hosting this event in Google's gorgeous (and very colorful) meeting space! Thank you, Google! (And thank you newBrandAnalytics for your outstanding hosting in recent months!)<\/li>\n<li>New informal themed discussions! Before the main event, during the refreshments and mingling portion of the evening, we're going to set aside an area for people interested in a particular topic to meet each other and discuss that topic. This month, we've chosen Python data analysis as the theme.<\/li>\n<\/ol>\n<p><strong>Agenda:<\/strong><\/p>\n<ul>\n<li>6:30pm -- Networking and Refreshments (<em>Discussion theme: Python<\/em>)<\/li>\n<li>7:00pm -- Introduction<\/li>\n<li>7:15pm -- Rob's presentation and Q&amp;A<\/li>\n<li>around 8:30pm -- Adjourn for Data Drinks<\/li>\n<\/ul>\n<p><strong>Abstract:<\/strong><\/p>\n<p>Compared with traditional statistical methods, the basic toolkit of Bayesian statistics produces more intuitive, easier to understand -- and use and update and compare -- outputs through comparatively difficult computational and mathematical procedures. Everything in and out of a Bayesian analysis is probability and can be combined or broken apart according to the rules of probability. But understanding code and sampling algorithms -- really understanding the algorithms and computation -- and a much deeper grasp of probability distribution theory are much more important in understanding Bayesian inference earlier on.<\/p>\n<p>This tutorial is an introduction to the basic basics of Bayesian inference through a self-contained example involving data simulation and inference on a binomial proportion, such as vote share in a two-way election or a basketball player's free-throw percentage. Time allowing, we will also introduce some more advanced concepts. It is meant to help people with a general understanding of traditional statistics and probability take that first step towards drinking the Bayesian kool-aid. It is delicious stuff, I promise. Tastes like genuine reductions in uncertainty. And cherries.<\/p>\n<p><strong>Bio:<\/strong><\/p>\n<p>Rob Mealey has a BA in Political Science from St. Michael College and an MS in Applied Economics from Johns Hopkins. He works as a data scientist at DC-based social media analytics start-up newBrandAnalytics, surfacing disruptive and actionable findings from messy and disparate data sources for organizations and companies large and small across many different sectors. He previously worked at Fannie Mae... afterwards... where he single-handedly figured out what went wrong. It isn't his fault if no one listened.<\/p>\n<p>Rob blogs at <a href=\http","The entrance is on I St., between 11th and 12th.","Bayesian Data Analysis, The Basic Basics: Inference on a Binomial Proportion",155,22,3.91,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
250,past,public,0,7106522,20037,-77.050293,newBrandAnalytics,DC,"1250 23rd St. NW, 4th floor",38.906357,Washington,us,83813992,-14400000,7200000,1350513000000,0,1352657404000,1348486590000,213,http:\/\/www.meetup.com\/Data-Science-DC\/events\/83813992\/,"<p>For our October Meetup, we're thrilled to have Paco Nathan talking about his experiences working with and deploying enterprise-scale predictive systems. <a href=\http",,Building Enterprise Apps for Big Data with Cascading,95,9,4.78,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
1,past,public,0,9206062,20052,-77.048836,GWU Campus,DC,"Academic Center, Phillips Hall Room 736, 801 22nd Street NW",38.90004,Washington,us,82037832,-18000000,14400000,1352646000000,0,1352660942000,1347456775000,1,http:\/\/www.meetup.com\/Data-Science-DC\/events\/82037832\/,<p>DSDC is pleased to work with <a href=\http,Look for signs and volunteers,Workshop: Number Crunching in Python with NumPy,0,0,0,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
310,past,public,0,971752,20005,-77.0271,Google DC,DC,"1101 New York Avenue, N.W.,",38.901113,Washington ,us,75041762,-18000000,7200000,1353367800000,0,1354395921000,1343334563000,287,http:\/\/www.meetup.com\/Data-Science-DC\/events\/75041762\/,"<p>For our November Meetup, we're very happy to have Maksim (Max) Tsvetovat from local analytics consulting firm <a href=\http",,Implicit Sentiment Mining in Twitter Streams,170,16,4.31,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
275,upcoming,public,0,971752,20005,-77.0271,Google DC,DC,"1101 New York Avenue, N.W.,",38.901113,Washington ,us,87687152,-18000000,7200000,1355873400000,25,1353935920000,1350661241000,275,http://www.meetup.com/Data-Science-DC/events/87687152/,,,Political Campaign Data Science,0,,,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
